species_de,species_la,priority_tier,avbayfig_ref,schonzeit_start,schonzeit_end,ganzjaehrig_geschuetzt,mindestmass_cm,einzugsgebiet_override,stand,source_url,verification_status,verified_by,notes
Hecht,Esox lucius,1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Core predator. Keep/release demonstration based on catch date. See SPECIES-PRIORITY-NOTES.md Tier 1 #1."
Zander,Sander lucioperca,1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Donau-classic. Spring Schonzeit; pairs with Hecht to show differing closed seasons. Tier 1 #2."
Wels,Silurus glanis,1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Donau trophy. Long-body aspect ratio stress test for card template. Tier 1 #3."
Huchen,Hucho hucho,1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Donaulachs. Restricted status historically; must verify current Bayern rules. Tier 1 #4."
Bachforelle,Salmo trutta fario,2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Native Forellenbach trout. Autumn/winter Schonzeit expected. Tier 2 #5."
Regenbogenforelle,Oncorhynchus mykiss,2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Neozoon; often handled differently than Bachforelle. Contrast case. Tier 2 #6."
Seeforelle,Salmo trutta lacustris,2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Alpine lake form. Different Mindestmass than Bachforelle. Tier 2 #7."
Saibling,Salvelinus umbla,2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Alpine lake species; may also appear as S. alpinus depending on source. Verify taxonomic form used in AVBayFiG. Tier 2 #8."
Aesche,Thymallus thymallus,2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"HIGH REGULATORY INTEREST. Status in Bayern has shifted historically. Verify ganzjaehrig flag carefully. German display name: Aesche (umlaut to be restored in app rendering). Tier 2 #9."
Karpfen,Cyprinus carpio,3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Most-targeted coarse fish in Bayern. Oberpfaelzer Karpfen has protected indication of origin. Tier 3 #10."
Schleie,Tinca tinca,3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Stillwater iconic. Golden-green photogenic. Tier 3 #11."
Brachse,Abramis brama,3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Big-slab photos. Also known as Brasse. Tier 3 #12."
Rotauge,Rutilus rutilus,3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Also known as Ploetze. Highest-volume cyprinid by catch count. Tier 3 #13."
Aitel,Squalius cephalus,3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Also known as Doebel. Common in Oberpfalz rivers (Vils, Naab). Tier 3 #14."
Flussbarsch,Perca fluviatilis,4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Ubiquitous. First-catch-of-the-day photos. Display name may be simply Barsch. Tier 4 #15."
Aal,Anguilla anguilla,4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"IUCN critically endangered. Complex Mindestmass and seasonal handling. Tier 4 #16."
Renke,Coregonus spp.,4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Also known as Felchen. Schonzeit varies by lake. Einzugsgebiet_override is the textbook case here. Species is genus-level; may need to be split in v0.1 by specific Coregonus species. Tier 4 #17."
Nase,Chondrostoma nasus,4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,unverified,,"Anchor ganzjaehrig_geschuetzt test case. Verify current Bayern protection status. Tier 4 #18."
